,0,1,2,V OC (V),J SC (mA/cm-2),FF (%),PCE (%)
471_2_2, P1:PC71BM d ,,,0.88,9.26,0.54,4.40
471_2_3, P1:PC71BM d ,,,0.86,11.92,0.64,6.56
472_1_0,P(BDTT-TBDPPD): PC70BM (1:1 wt%) a ,,,0.87,8.64,48,3.63
472_1_1,P(BDTT- TTBDPPD):PC70BM (1:1 wt%),,,0.89,8.19,61,4.44
472_1_2,P(BDTT- TTBDPPD):PC70BM (1:2 wt%),,,0.90,8.94,67,5.37
472_1_3,P(BDTT- TTBDPPD):PC70BM (1:3 wt%),,,0.90,7.99,64,4.62
472_1_4,P(BDTT- TTBDPPD):PC70BM (1:4 wt%),,,0.89,6.59,62,3.63
473_2_0,PA DIO 0%,,,0.918,7.033,41.361,2.670
473_2_1,PA DIO 5%,,,0.855,8.669,50.606,3.752
473_2_2,PB DIO 0%,,,0.759,6.722,41.256,2.104
473_2_3,PB DIO 5%,,,0.769,6.900,45.551,2.416
473_2_4,PC DIO 0%,,,0.889,3.077,52.970,1.448
473_2_5,PC DIO 1%,,,0.861,6.914,37.974,2.262
473_3_0,700,,,0.836,1.940,36.417,0.591
473_3_1,1000,,,0.855,8.669,50.606,3.752
473_3_2,3000,,,0.856,8.226,51.622,3.633
473_3_3,5000,,,0.859,7.372,54.983,3.483
473_3_4,7000,,,0.845,7.375,54.151,3.376
474_2_0, PHF ,,,0.84,12.46,0.69,7.20 (6.95)
474_2_1, PFH ,,,0.93,9.57,0.70,6.19 (5.96)
474_2_2, PFF ,,,0.92,4.61,0.68,2.90 (2.79)
475_2_0,As cast,,,0.68,10.96,0.55,4.10 (3.98) a 
475_2_1,SA-TA,,,0.65,16.12,0.72,7.54 (7.42) a 
485_1_0, T annealing (°C),,, I on/off , V th (V),Mobility (cm2 V−1 s−1), V OC (V)
485_1_1,PDPP-SS,,,–,>104 ,−1.60,0.66
485_1_2,200 °C,,,DIO 2%,>105 ,−5.07,0.60
485_1_3,PDPP-TT,,,–,>107 ,−2.87,0.65
485_1_4,200 °C,,,DIO 2%,>107 ,−0.77,0.64
485_1_5,PDPP-TTS,,,–,>104 ,−2.88,0.67
485_1_6,200 °C,,,DIO 2%,>104 ,−5.99,0.65
485_1_7,PDPP-TSS,,,–,>104 ,−1.37,0.67
485_1_8,200 °C,,,DIO 2%,>104 ,−1.60,0.62
485_1_9,PDPP-TTSS,,,–,>104 ,2.03,0.61
485_1_10,200 °C,,,DIO 2%,>104 ,3.72,0.58
486_3_0,PBDPBT-T,,,0.80,7.1,56.2,3.19
486_3_1,Inverted,,,0.88,8.5,57.7,4.32
486_3_2,PBDPBT-TT,,,0.80,5.6,47.6,2.13
486_3_3,PBDPBT-biT,,,0.80,8.3,51.7,3.43
486_3_4,Inverted,,,0.88,8.6,59.4,4.50
498_1_0, PBDTS-FBT:PC70BM=1:1,,,0.65,4.48,29.43,0.86
498_1_1, PBDTS-FBT:PC70BM=1:1,,,0.69,3.78,30.92,0.81
498_1_2, PBDTS-FBT:PC70BM=1:1,,,0.80,6.65,30.30,1.42
498_1_3, PBDTS-FBT:PC70BM=1:1,,,0.83,4.56,28.20,1.07
498_1_4, PBDTS-FBT:PC70BM=1:2,,,0.60,3.09,30.94,0.57
498_1_5, PBDTS-DTFBT:PC70BM=1:1,,,0.74,6.46,38.72,1.85
498_1_6, PBDTS-DTFBT:PC70BM=1:1,,,0.75,6.90,37.91,1.96
498_1_7, PBDTS-DTFBT:PC70BM=1:1,,,0.83,8.27,46.42,3.19
