,0,1,2,V OC (V),J SC (mA/cm-2),FF (%),PCE (%)
208_2_1,PC71BM,,,0.87,7.61,49.8,3.27
209_0_0,PBDT‐OBT,,,0.82,12.53,54.9,5.64 (5.50)
209_0_1,PBDT‐FBT,,,0.86,12.05,59.9,6.21 (6.08)
210_1_0,10k,,,0.78 ± 0.01,7.8 ± 1.3,54.4 ± 4.1,
210_1_1,20k,,,0.76 ± 0.01,11.4 ± 0.5,64.2 ± 2.1,
210_1_2,40k,,,0.78 ± 0.01,13.3 ± 0.9,70.5 ± 1.9,
210_1_3,60k,,,0.75 ± 0.02,12.7 ± 0.6,63.3 ± 2.4,
210_1_4,10k/60k(1:2),,,0.80 ± 0.01,12.0 ± 0.4,66.7 ± 1.7,
211_1_0,PNDT–DTPyT,,,0.71,14.16,61.7,6.20 (6.07)
211_1_1,PQDT–DTPyT,,,0.75,13.49,55.1,5.57 (5.32)
211_1_2,PBnDT–DTPyT,,,0.85,12.78,58.2,6.32 (6.11)
218_2_0,PBDT2FBT,,,0.92,3.16,57.2,1.74 (1.40)
218_2_1,,,,0.94,7.21,51.9,3.47 (3.29)
218_2_2,PBDT2FBT‐O,,,0.92,4.4,53.4,2.21 (2.17)
218_2_3,,,,0.9,7.87,64.7,4.53 (4.26)
218_2_4,PBDT2FBT‐T,,,0.98,10.6,57.8,6.37 (6.16)
218_2_5,,,,0.98,9.62,59.7,5.46 (5.20)
218_2_6,PBDT2FBT‐T‐O,,,0.84,7.87,52.8,3.65 (3.31)
218_2_7,,,,0.82,8.93,43.5,3.12 (2.92)
218_3_0,PBDT2FBT‐T,,,0.98,9.03,53.0,4.69
218_3_1,,,,0.98,9.59,57.1,5.36
218_3_2,,,,0.98,9.16,50.1,4.5
218_3_3,,,,0.98,10.2,56.2,5.65
218_3_4,,,,0.98,10.6,57.0,6.16
218_3_5,,,,0.96,9.71,58.6,5.51
225_1_0,,,,(V),(mA cm−2),,(%)
225_1_1,P1,,,0.94,‐10.8,0.51,5.2
225_1_2,,,,0.92,‐10.2,0.41,3.8
225_1_3,P2,,,0.96,‐6.2,0.43,2.6
225_1_4,P3,,,0.93,‐10.0,0.51,4.8
225_1_5,P4a),,,‐,‐,‐,‐
225_1_6,P5,,,0.76,‐2.9,0.43,0.95
225_1_7,P6a),,,‐,‐,‐,‐
225_1_8,P7,,,0.89,‐7.6,0.57,3.9
225_1_9,P8,,,0.76,‐9.0,0.51,3.5
225_1_10,P9,,,0.66,‐1.2,0.26,0.2
225_1_11,P10,,,0.87,‐7.2,0.58,3.6
225_1_12,,,,0.88,‐6.5,0.53,3.1
225_1_13,P11,,,0.92,‐2.3,0.34,0.7
235_0_0,PID1,,,0.85,7.06,54.7,3.28
235_0_1,PID2,,,0.88,5.94,58.6,3.05
235_0_2,PPB1,,,0.86,10.4,66.6,5.97
235_0_3,PPB2,,,0.88,8.23,62.2,4.48
235_1_0,PTB2,,,,,,5.1
235_1_1,PTB7,,,,,,7.4
235_1_2,PTBF2,,,,,,3.2
235_1_3,PBB3,,,,,,2.04
235_1_4,PBIT1,,,,,,1.96
235_1_5,PBIT3,,,,,,0.47
235_1_6,PBTZ1,,,,,,3.46
235_1_7,PBTZ2,,,,,,0.29
235_1_8,PPB1,,,,,,5.97
235_1_9,PID1,,,,,,3.28
240_0_0,PBDF‐T1:PC71BM,,,0.95,6.7,41.4,2.64 (2.45)
240_0_1,,,,0.92,12.22,77.9,8.73 (8.66)
240_0_2,,,,0.92,13.28,77.4,9.43 (9.09)
240_0_3,,,,0.91,13.49,75.5,9.23 (8.87)
240_0_4,,,,0.9,12.51,74.0,8.36 (8.21)
240_0_5,PBDT‐T1:PC71BM,,,0.88,6.94,61.6,3.75 (3.62)
240_0_6,,,,0.87,13.01,71.7,8.08 (7.81)
240_0_7,,,,0.86,13.13,71.8,8.12 (8.00)
240_0_8,,,,0.86,13.03,69.9,7.82 (7.58)
240_0_9,,,,0.84,12.58,68.8,7.28 (7.03)
247_1_0,1:1,,,0.75,5.98,0.33,1.48
247_1_1,1:2,,,0.76,7.07,0.32,1.72
247_1_2,1:3,,,0.77,6.42,0.34,1.68
247_1_3,1:2.5,,,0.77,7.24,0.33,1.84
247_1_4,1:2.5a)a)5% weight loss temperature measured by TGA under N2;,,,0.78,7.58,0.35,2.06
247_2_0,PC60BM,,,0.75,6.3,0.33,1.56
247_2_1,,,,0.79,6.61,0.35,1.83
247_2_2,,,,0.84,8.35,0.39,2.73
247_2_3,,,,0.74,5.65,0.37,1.54
247_2_4,,,,0.74,6.35,0.34,1.60
247_2_5,,,,0.78,6.11,0.33,1.57
247_2_6,PC70BM,,,0.82,10.1,0.38,3.15
247_2_7,,,,0.83,11.71,0.4,3.90a)a)5% weight loss temperature measured by TGA under N2;
269_0_0,DCB+DIO,,,0.85,6.4,0.52,2.8
269_0_1,DCB+DIO,,,0.79,9.38,0.66,4.85
269_0_2,TCB,,,0.72,14.96,0.68,7.31
269_0_3,DCB+DIO,,,0.66,11.82,0.52,3.98
279_0_0,BDF; (2EH/C7),,,0.94,10.8,0.65,6.3
279_0_1,,,,0.95,9.8,0.6,5.4
279_0_2,BDF; (2EH/C8),,,0.97,11.2,0.68,6.9
279_0_3,,,,0.97,11.2,0.59,6.2
279_0_4,BDF; (2EH/C9),,,0.93,11.3,0.69,6.9
279_0_5,,,,0.93,10.6,0.64,6.0
279_0_6,BDF; (2EH/C10),,,0.94,9.1,0.67,5.6
279_0_7,,,,0.94,11.2,0.6,5.9
279_0_8,BDT; (2EH/C8),,,0.94,11.1,0.66,6.6
279_0_9,,,,0.94,12.0,0.61,6.7
282_0_0,PTDBD2/PC71BM (1:1.2),,,0.89,13.0,65.3,7.6
282_0_1,PTDBD3/PC71BM (1:1.3),,,0.88,10.7,52.1,4.9
282_0_2,PTDBD2/PC61BM (1:1.2),,,0.87,9.7,63.0,5.3
282_0_3,PTDBD3/PC61BM (1:1.3),,,0.87,7.5,59.4,3.9
291_1_0,TBTIT‐h,,,0.72,17.7,0.71,9.1
291_1_1,TBTIT‐l,,,0.73,13.6,0.54,5.3
302_0_0,PBBTzCz,,,"0.74d)d)Polymer:PC61BM = 1:2 (w/w); an o‐dichlorobenzene (oDCB) solution, thermal annealing at 100 °C for 10 min;","4.21d)d)Polymer:PC61BM = 1:2 (w/w); an o‐dichlorobenzene (oDCB) solution, thermal annealing at 100 °C for 10 min;","0.30d)d)Polymer:PC61BM = 1:2 (w/w); an o‐dichlorobenzene (oDCB) solution, thermal annealing at 100 °C for 10 min;","0.95d)d)Polymer:PC61BM = 1:2 (w/w); an o‐dichlorobenzene (oDCB) solution, thermal annealing at 100 °C for 10 min;"
302_0_1,PBBTz‐ran‐TPD,,,"0.72e)e)Polymer:PC61BM = 1:1 (w/w); oDCB solution with 3% v/v DIO, thermal annealing at 150 °C for 10 min;","2.25e)e)Polymer:PC61BM = 1:1 (w/w); oDCB solution with 3% v/v DIO, thermal annealing at 150 °C for 10 min;","0.56e)e)Polymer:PC61BM = 1:1 (w/w); oDCB solution with 3% v/v DIO, thermal annealing at 150 °C for 10 min;","0.90e)e)Polymer:PC61BM = 1:1 (w/w); oDCB solution with 3% v/v DIO, thermal annealing at 150 °C for 10 min;"
302_0_2,PBBTz‐ran‐BT,,,–,– g)g)Not obtained.,– g)g)Not obtained.,– g)g)Not obtained.
302_1_0,PBBTzBT‐HD,,,0.83d)d)Polymer:PC 61BM = 1:2 (w/w); oDCB solution;,7.17d)d)Polymer:PC 61BM = 1:2 (w/w); oDCB solution;,–5.5,3.20d)d)Polymer:PC 61BM = 1:2 (w/w); oDCB solution;
302_1_1,PBBTzBT‐DT,,,"0.83e)e)Polymer:PC 61BM = 1:2 (w/w); a chlorobenzene (CB) solution with 3% v/v DIO, thermal annealing at 160 °C for 10 min;","5.74e)e)Polymer:PC 61BM = 1:2 (w/w); a chlorobenzene (CB) solution with 3% v/v DIO, thermal annealing at 160 °C for 10 min;",–5.7,"2.37e)e)Polymer:PC 61BM = 1:2 (w/w); a chlorobenzene (CB) solution with 3% v/v DIO, thermal annealing at 160 °C for 10 min;"
302_1_2,,,,"0.84f)f)Inverted cell (ITO/TiOx/BHJ/MoOx/Au); polymer:PC61BM = 1:2 (w/w); CB solution with 3% v/v DIO, thermal annealing at 120 °C for 10 min.","8.01f)f)Inverted cell (ITO/TiOx/BHJ/MoOx/Au); polymer:PC61BM = 1:2 (w/w); CB solution with 3% v/v DIO, thermal annealing at 120 °C for 10 min.",,"3.84f)f)Inverted cell (ITO/TiOx/BHJ/MoOx/Au); polymer:PC61BM = 1:2 (w/w); CB solution with 3% v/v DIO, thermal annealing at 120 °C for 10 min."
320_3_0,PDIDTBT,,,0.7,3.3,33,0.76
320_3_1,PDIDTDTBT,,,0.7,5.3,44,1.65
320_3_2,PTDIDTTBT,,,0.68,6.2,47,2.0
320_3_3,PTDIDTTBT/PDIDTDTBT,,,0.85,6.4,43,2.4
323_1_0,PBDPTBT,,,0.6,10.34,49.7,3.08
323_1_1,PBDPTBT[c],,,0.6,8.87,49.0,2.61
323_1_2,PBDPTTPD[d],,,0.75,9.69,51.2,3.72
323_1_3,PBDPTTPD,,,0.74,9.3,49.04,3.37
323_1_4,PBDPTDPP,,,0.56,4.95,48.5,1.34
329_3_0,PDTCTTTPD,,,,,6×102,
329_3_1,PDTCTTBT,,,,,2×105,
329_3_2,PDTCTTPQX,,,,,3×106,
329_4_0,PDTCTTTPD,,,0.72,8.35,43,2.59
329_4_1,PDTCTTBT,,,0.64,8.03,50,2.57
329_4_2,PDTCTTPQX,,,0.62,7.33,42,1.91
336_0_0,A,,,0.83,10.35 (9.81)b)b) b)Calculated from the IPCE spectra shown in Figure S3 (Supporting Information);,55.7,4.8
336_0_1,B,,,0.83,12.29 (11.97)b)b) b)Calculated from the IPCE spectra shown in Figure S3 (Supporting Information);,65.6,6.7
336_0_2,C,,,0.83,12.57 (12.35)b)b) b)Calculated from the IPCE spectra shown in Figure S3 (Supporting Information);,66.8,7.0
336_0_3,D,,,0.76,12.14,61.9,5.7
336_0_4,E,,,0.83,11.31 (10.44)b)b) b)Calculated from the IPCE spectra shown in Figure S3 (Supporting Information);,63.4,6.0
337_3_0,,,,,,,
337_3_1,DTSC,,,,,H → L,
337_3_2,,,,,,H–1→ L,
337_3_3,,,,,,H → L+1,
337_3_4,,,,,,H → L+2,
337_3_5,DTPC,,,,,H → L,
337_3_6,,,,,,H–1→ L,
337_3_7,DTCC,,,,,H → L,
337_3_8,,,,,,H–1→ L,
337_3_9,,,,,,H → L+2,
337_3_10,DTSCBT,,,,,H →L,
337_3_11,,,,,,H–1→L,
337_3_12,DTPCBT,,,,,H–1 → L,
337_3_13,,,,,,H →L,
337_3_14,,,,,,H–1→L,
337_3_15,,,,,,H → L,
337_3_16,DTCCBT,,,,,H →L,
337_3_17,,,,,,H–1→L,
337_4_0,PDTSCBT,,,0.82,11.1,56.7,5.2
337_4_1,PDTPCBT,,,0.5,10.5,49.9,2.6
337_4_2,PDTCCBTb)b) b) Device data from ref. 4.,,,0.74,10.3,60.0,4.6
342_0_0,PIDT‐DFBT,,,,,2 × 103,
342_0_1,PIDTT‐DFBT,,,,,5 × 104,
342_1_0,PIDT‐DFBT/PC71BM,,,0.97,11.2,0.55,5.97
342_1_1,PIDTT‐DFBT/PC71BM,,,0.95,12.21,0.61,7.03
